# Tomato Dual-LUT — full 8-bit f-LUT map (g=0, cin=0 Boolean slice).
# Index: idx = 4*C + 2*B + A  (A = LSB of index / opcode bit0). Same as docs/isa/lut.csv and alu-32b.
# Every row is one native ALU cycle. nested_form is optional human/compiler sugar, not required by hardware.
# one_nest=yes means expressible as a single nest of {and,or,xor,nand,nor,xnor,andn,orn} plus not/wires.
# Companion curated subset: lut.csv. Fuse-oriented nest table: lut-nested-fuse.csv.
lut_hex,lut,truth_abc,one_nest,nested_form,alt_forms,name,expression
0x00,0,00000000,yes,0,,ZERO,0
0x01,1,10000000,yes,"nor(A, or(B, C))","nor(A, or(C, B)); andn(nor(A, B), C); nor(or(A, B), C)",NOR3,~(A|B|C)
0x02,2,01000000,yes,"and(A, nor(B, C))","andn(A, or(B, C)); and(A, nor(C, B)); andn(A, or(C, B))",,"and(A, nor(B, C))"
0x03,3,11000000,yes,"nor(B, C)","nor(C, B)",,"nor(B, C)"
0x04,4,00100000,yes,"nor(A, orn(C, B))","and(nor(C, A), B); and(B, nor(A, C)); and(nor(A, C), B)",,"nor(A, orn(C, B))"
0x05,5,10100000,yes,"nor(A, C)","nor(C, A)",,"nor(A, C)"
0x06,6,01100000,yes,"andn(xor(A, B), C)","nor(xnor(A, B), C); nor(C, xnor(A, B)); andn(xor(B, A), C)",,"andn(xor(A, B), C)"
0x07,7,11100000,yes,"andn(nand(A, B), C)","nor(and(A, B), C); andn(nand(B, A), C); nor(and(B, A), C)",,"andn(nand(A, B), C)"
0x08,8,00010000,yes,"and(A, andn(B, C))","andn(A, orn(C, B)); andn(and(A, B), C); and(B, andn(A, C))",,"and(A, andn(B, C))"
0x09,9,10010000,yes,"andn(xnor(A, B), C)","nor(xor(A, B), C); nor(C, xor(A, B)); andn(xnor(B, A), C)",,"andn(xnor(A, B), C)"
0x0A,10,01010000,yes,"andn(A, C)",,,"andn(A, C)"
0x0B,11,11010000,yes,"andn(orn(A, B), C)","nor(C, andn(B, A)); nor(andn(B, A), C)",,"andn(orn(A, B), C)"
0x0C,12,00110000,yes,"andn(B, C)",,,"andn(B, C)"
0x0D,13,10110000,yes,"andn(orn(B, A), C)","nor(andn(A, B), C); nor(C, andn(A, B))",,"andn(orn(B, A), C)"
0x0E,14,01110000,yes,"andn(or(A, B), C)","nor(nor(A, B), C); nor(C, nor(A, B)); andn(or(B, A), C)",,"andn(or(A, B), C)"
0x0F,15,11110000,yes,not(C),,NOT_C,~C
0x10,16,00001000,yes,"nor(A, orn(B, C))","and(nor(A, B), C); and(C, nor(A, B)); andn(C, or(A, B))",,"nor(A, orn(B, C))"
0x11,17,10001000,yes,"nor(A, B)","nor(B, A)",,"nor(A, B)"
0x12,18,01001000,yes,"andn(xor(A, C), B)","andn(xor(C, A), B); nor(B, xnor(C, A)); nor(xnor(A, C), B)",,"andn(xor(A, C), B)"
0x13,19,11001000,yes,"andn(nand(A, C), B)","andn(nand(C, A), B); nor(and(C, A), B); nor(B, and(A, C))",,"andn(nand(A, C), B)"
0x14,20,00101000,yes,"nor(A, xnor(B, C))","nor(A, xnor(C, B)); andn(xor(C, B), A); andn(xor(B, C), A)",,"nor(A, xnor(B, C))"
0x15,21,10101000,yes,"nor(A, and(B, C))","nor(A, and(C, B)); andn(nand(C, B), A); andn(nand(B, C), A)",,"nor(A, and(B, C))"
0x16,22,01101000,no,,,,
0x17,23,11101000,no,,,,
0x18,24,00011000,no,,,,
0x19,25,10011000,no,,,,
0x1A,26,01011000,no,,,,
0x1B,27,11011000,no,,,,
0x1C,28,00111000,no,,,,
0x1D,29,10111000,no,,,,
0x1E,30,01111000,yes,"xor(C, or(A, B))","xor(or(A, B), C); xor(C, or(B, A)); xor(or(B, A), C)",,"xor(C, or(A, B))"
0x1F,31,11111000,yes,"orn(nor(A, B), C)","nand(or(A, B), C); nand(C, or(A, B)); orn(nor(B, A), C)",,"orn(nor(A, B), C)"
0x20,32,00000100,yes,"andn(A, orn(B, C))","and(A, andn(C, B)); and(C, andn(A, B)); and(andn(A, B), C)",,"andn(A, orn(B, C))"
0x21,33,10000100,yes,"andn(xnor(A, C), B)","andn(xnor(C, A), B); nor(xor(C, A), B); nor(B, xor(A, C))",,"andn(xnor(A, C), B)"
0x22,34,01000100,yes,"andn(A, B)",,,"andn(A, B)"
0x23,35,11000100,yes,"andn(orn(A, C), B)","nor(andn(C, A), B); nor(B, andn(C, A))",,"andn(orn(A, C), B)"
0x24,36,00100100,no,,,,
0x25,37,10100100,no,,,,
0x26,38,01100100,no,,,,
0x27,39,11100100,no,,,,
0x28,40,00010100,yes,"and(A, xor(B, C))","andn(A, xnor(B, C)); and(A, xor(C, B)); andn(A, xnor(C, B))",A_AND_XOR_BC,A&(B^C)
0x29,41,10010100,no,,,,
0x2A,42,01010100,yes,"and(A, nand(B, C))","andn(A, and(B, C)); and(A, nand(C, B)); andn(A, and(C, B))",,"and(A, nand(B, C))"
0x2B,43,11010100,no,,,,
0x2C,44,00110100,no,,,,
0x2D,45,10110100,yes,"xor(orn(B, A), C)","xor(C, orn(B, A)); xnor(C, andn(A, B)); xnor(andn(A, B), C)",,"xor(orn(B, A), C)"
0x2E,46,01110100,no,,,,
0x2F,47,11110100,yes,"orn(andn(A, B), C)","nand(orn(B, A), C); nand(C, orn(B, A))",,"orn(andn(A, B), C)"
0x30,48,00001100,yes,"andn(C, B)",,,"andn(C, B)"
0x31,49,10001100,yes,"andn(orn(C, A), B)","nor(B, andn(A, C)); nor(andn(A, C), B)",,"andn(orn(C, A), B)"
0x32,50,01001100,yes,"andn(or(A, C), B)","andn(or(C, A), B); nor(B, nor(A, C)); nor(B, nor(C, A))",,"andn(or(A, C), B)"
0x33,51,11001100,yes,not(B),,NOT_B,~B
0x34,52,00101100,no,,,,
0x35,53,10101100,no,,,,
0x36,54,01101100,yes,"xor(B, or(A, C))","xor(B, or(C, A)); xor(or(C, A), B); xor(or(A, C), B)",,"xor(B, or(A, C))"
0x37,55,11101100,yes,"orn(nor(C, A), B)","orn(nor(A, C), B); nand(B, or(A, C)); nand(B, or(C, A))",,"orn(nor(C, A), B)"
0x38,56,00011100,no,,,,
0x39,57,10011100,yes,"xor(B, orn(C, A))","xor(orn(C, A), B); xnor(andn(A, C), B); xnor(B, andn(A, C))",,"xor(B, orn(C, A))"
0x3A,58,01011100,no,,,,
0x3B,59,11011100,yes,"orn(andn(A, C), B)","nand(B, orn(C, A)); nand(orn(C, A), B)",,"orn(andn(A, C), B)"
0x3C,60,00111100,yes,"xor(B, C)","xor(C, B)",XOR_BC,B^C
0x3D,61,10111100,no,,,,
0x3E,62,01111100,no,,,,
0x3F,63,11111100,yes,"nand(B, C)","nand(C, B)",,"nand(B, C)"
0x40,64,00000010,yes,"nor(A, nand(B, C))","nor(A, nand(C, B)); and(B, andn(C, A)); and(andn(B, A), C)",,"nor(A, nand(B, C))"
0x41,65,10000010,yes,"nor(A, xor(B, C))","nor(A, xor(C, B)); andn(xnor(C, B), A); andn(xnor(B, C), A)",,"nor(A, xor(B, C))"
0x42,66,01000010,no,,,,
0x43,67,11000010,no,,,,
0x44,68,00100010,yes,"andn(B, A)",,,"andn(B, A)"
0x45,69,10100010,yes,"nor(A, andn(C, B))","andn(orn(B, C), A); nor(andn(C, B), A)",,"nor(A, andn(C, B))"
0x46,70,01100010,no,,,,
0x47,71,11100010,no,,,,
0x48,72,00010010,yes,"and(xor(A, C), B)","and(B, xor(A, C)); and(B, xor(C, A)); and(xor(C, A), B)",,"and(xor(A, C), B)"
0x49,73,10010010,no,,,,
0x4A,74,01010010,no,,,,
0x4B,75,11010010,yes,"xor(C, orn(A, B))","xor(orn(A, B), C); xnor(C, andn(B, A)); xnor(andn(B, A), C)",,"xor(C, orn(A, B))"
0x4C,76,00110010,yes,"and(B, nand(A, C))","and(nand(A, C), B); and(B, nand(C, A)); and(nand(C, A), B)",,"and(B, nand(A, C))"
0x4D,77,10110010,no,,,,
0x4E,78,01110010,no,,,,
0x4F,79,11110010,yes,"orn(andn(B, A), C)","nand(C, orn(A, B)); nand(orn(A, B), C)",,"orn(andn(B, A), C)"
0x50,80,00001010,yes,"andn(C, A)",,,"andn(C, A)"
0x51,81,10001010,yes,"nor(A, andn(B, C))","andn(orn(C, B), A); nor(andn(B, C), A)",,"nor(A, andn(B, C))"
0x52,82,01001010,no,,,,
0x53,83,11001010,no,,,,
0x54,84,00101010,yes,"nor(A, nor(B, C))","nor(A, nor(C, B)); andn(or(B, C), A); andn(or(C, B), A)",,"nor(A, nor(B, C))"
0x55,85,10101010,yes,not(A),,NOT_A,~A
